video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=I_6aMZwf9CU&pp=ygUMY2hpbmVzZSBmb29k,/@TasteShow,Taste Show,How to Make Perfect Chicken Manchurian Every Time,17 mln. weergaven,4 jaar geleden,"Whether you want to know how to make Chinese dishes at home, or learn how to master cooking with a wok, we've got you ...",48:42.8
/watch?v=mQufT9XjimY&pp=ygUMY2hpbmVzZSBmb29k,/@TasteShow,Taste Show,Chef's Favorite Kung Pao Chicken and Pepper Chicken l Authentic Chinese Food,"3,1 mln. weergaven",4 jaar geleden,#kungpaochicken #chickenrecipe #chinesefood Kung Pao Chicken (宫保鸡丁) is a highly addictive stir-fried chicken with the ...,48:42.8
/watch?v=1aB9F5dQB3E&pp=ygUMY2hpbmVzZSBmb29k,/@InTheKut,IN THE KUT,"HOLE IN THE WALL AUTHENTIC CHINESE FOOD// PORK CHOP CURRY, OYSTER OMELETTE, SHANGHAI BAO, CHICKEN",876 weergaven,8 uur geleden,"KANG KANG SHAU MAY 18017 Gale Ave City Of Industry, CA 91748 United States I got so many people recommending this spot ...",48:42.8
/watch?v=0TdCC46WEjo&pp=ygUMY2hpbmVzZSBmb29k,/@Discoverize,Discoverize,20 Weirdest Foods In China,146K weergaven,12 dagen geleden,"For copyright matters, please contact: juliabaker0312@gmail.com Welcome to the Discoverize! Here, we dive into the most ...",48:42.8
/watch?v=yE0p0wclDqc&pp=ygUMY2hpbmVzZSBmb29k,/@WildernessFoodCooking,Wilderness Food,Giant Snake Soup - Delicious Big Python Boil For Food - Wilderness Food,11 mln. weergaven,3 jaar geleden,Giant Snake Soup - Delicious Big Python Boil For Food - Wilderness Food Snake soup is a popular Cantonese delicacy and ...,48:51.8
/watch?v=A91yUNwkQGc&pp=ygUMY2hpbmVzZSBmb29k,/@MarkWiens,Mark Wiens,Street Food in China - ULTIMATE 14-HOUR SICHUAN Chinese Food Tour in Chengdu! (Part 1),"3,3 mln. weergaven",4 jaar geleden,"PART 1: Ultimate Chinese Street Food Tour of Chengdu, Sichuan, China! This is Part 1 of an epic 14 hour day of eating as much ...",48:51.8
/shorts/jtSEbLQGnMQ,/@ChinesewithJessie,Chinese with Jessie,The mysterious nature of food in Chinese culture,"7,3 mln. weergaven",9 maanden geleden,shorts #skit #comedy #funny #asian #chineseculture.,48:51.8
/shorts/QhzX-PxC1Rw,/@KarissaEats,KarissaEats,Full day of Chinese takeout! #shorts #foodie #chinesefood #dumplings #eating #china,"1,9 mln. weergaven",1 jaar geleden,Only eating american chinese food for a full day ever since i went to chinatown in new york i've been craving these amazing fried ...,48:51.9
/watch?v=GbauWTD1OXk&pp=ygUMY2hpbmVzZSBmb29k,/@ChinaChilli,China Chilli,"Chinese Street Food - Gebakken noedels met gebakken rijst, gebakken vleeskuikens， ei en groentetaart","4,8 mln. weergaven",2 jaar geleden,"Je kijkt naar de hemel van oom Roger
Dingen die we doen: wok hei, MSG (ook bekend als: koning van smaak/zout op crack ...",48:51.9
/watch?v=UkNdqnAVDKE&pp=ygUMY2hpbmVzZSBmb29k,/@bonappetit,Bon Appétit,A Day With A Line Cook At Brooklyn's Hottest Chinese Restaurant | On The Line | Bon Appétit,"2,9 mln. weergaven",1 jaar geleden,"Line Cook Tristan Kwong brings you into the precise and fast-paced world of a professional kitchen at Bonnie's, Brooklyn's hottest ...",48:51.9
/shorts/vYA5J5ulH2Q,/@tommywinkler,Tommy Winkler,I can only eat Chinese food for the entire day! #shorts #challenge #food,"2,8 mln. weergaven",2 jaar geleden,Social Media's: Instagram: https://www.instagram.com/tommywinkler/ TikTok: https://www.tiktok.com/@tommywinkler? Twitter: ...,48:51.9
/shorts/NYq9DxjgRhg,/@KarissaEats,KarissaEats,Spicy rice noodles and baozi! #shorts #chinesefood #beijing #foodie,"5,2 mln. weergaven",1 jaar geleden,... oh and today I went grocery shopping I stopped by the hot food section for some thoughts and then I headed to McDonald's and ...,48:51.9
/watch?v=ZmctVn-s6CE&pp=ygUMY2hpbmVzZSBmb29k,/@thefoodranger,The Food Ranger,"Most EXTREME Chinese Street Food Tour of Chengdu, China - 16 Hour SPICY Street Food Tour!",803K weergaven,5 maanden geleden,0:00 Introduction 0:34 Slapping Noodles (insane) 11:18 Insane spicy Sichuan street lunch 14:05 Super spicy Sichuan hot pot ...,48:51.9
/shorts/ppn5solWKEU,/@ShiShenOfficial,ShiShen Cooking,Can soil be eaten too? | Chinese Food Eating Show | Funny Mukbang ASMR,806K weergaven,8 maanden geleden,"""Our videos focus on showcasing the food-making process, with all ingredients sourced legally and ethically."" Hello all my ...",48:51.9
/watch?v=1dYTg4OFrCo&pp=ygUMY2hpbmVzZSBmb29k,/@BabbleTop,BabbleTop,Top 10 Most Popular Chinese Foods in America!,54K weergaven,1 jaar geleden,Almost every town in America has its favorite Chinese restaurant - each of them putting their own spin on famous classics.,48:51.9
/watch?v=YKZLTo93ULY&pp=ygUMY2hpbmVzZSBmb29k,/@ErikTheElectric,ErikTheElectric,The World's BIGGEST Chinese Food Platter Challenge!,"3,7 mln. weergaven",1 jaar geleden,"#ErikTheElectric #FoodChallenge #ChineseFood In this challenge, I attempted to eat a gigantic $200 Chinese food platter!",48:51.9
/watch?v=ILxLQtkUXRk&pp=ygUMY2hpbmVzZSBmb29k,/@FoodHunter,Food Hunter 探食,Chinese Restaurant Master Chef Cooking Yumptious Dishes - Restaurant Ah Thiam In Port Dickson,350K weergaven,1 jaar geleden,Chinese Restaurant Master Chef Cooking Yumptious Dishes - Restaurant Ah Thiam In Port Dickson Location: Restoran Ah Thiam ...,48:51.9
/shorts/WXVbzPLSS4A,/@ChinesewithJessie,Chinese with Jessie,White people having spicy food be like,"3,2 mln. weergaven",8 maanden geleden,shorts #comedy #skit #funny #asian.,48:59.8
/shorts/ni50Cpa0jBg,/@ShiShenOfficial,ShiShen Cooking,TASTY! THE MOST FUN POPSICLE IN CHILDHOOD! | CHINESE FOOD EATING SHOW | FUN MUKBANG ASMR,183 mln. weergaven,1 jaar geleden,"""Our videos focus on showcasing the food-making process, with all ingredients sourced legally and ethically."" Hello all my ...",48:59.8
/watch?v=JALx5DaXWKI&pp=ygUMY2hpbmVzZSBmb29k,/@horrorasiancuisine,Horror Asian Cuisine,The jungler catches and cooks delicious grilled centipedes,"5,1 mln. weergaven",1 jaar geleden,The most horror dishes will be distributed here #horrorasiancuisine #horrorfood.,48:59.8
/shorts/YWdPjPOJ7mE,/@msshiandmrhe,Ms Shi and Mr He,15-minute Staple Chinese Food: Tomato Egg Stir Fry 🍅🍳 番茄炒蛋,"4,1 mln. weergaven",1 jaar geleden,"This is a staple food that everyone Chinese family would eat at least once a week. Because it's so delicious, nutritious, and so ...",48:59.9
/shorts/y5oAFumeDd4,/@BigandFastEaters,Big and Fast Eaters,Big Lobster Blind Box | TikTok Video|Eating Spicy Food and Funny Pranks| Funny Mukbang,12 mln. weergaven,1 jaar geleden,"During the production of the video, we paid special attention to the sourcing of ingredients to ensure they did not involve any form ...",48:59.9
/shorts/DlQ-0zCTgRw,/@ligier,Michael Ligier,What Chinese Fine Dining Looks Like,583K weergaven,11 maanden geleden,"A lot of the classics, but with modern or elevated twists. Chinese fine dining doesn't happen too much, but it is incredible when it ...",48:59.9
/shorts/ZJA820DsR5k,/@Jalalsamfit,Jalalsamfit,High Protein Chicken Chow Mein Noodles Meal Prep! #chinesefood #fatloss #foodie #recipe #fitness,441K weergaven,9 maanden geleden,"High Protein Chicken Chow Mein Noodles Meal Prep!     One of the easiest and tastiest meals, so much better than takeout with ...",48:59.9
/shorts/znp2lcNcyFI,/@foodiechina888,foodiechina888,"EASY CHOW MEIN RECIPE, AKA CHINESE FRIED NOODLES #recipe #cooking #chowmein #chinesefood #noodles","4,3 mln. weergaven",1 jaar geleden,Trending xiaomi and recipe in China any type of noodles per boiling water from Mississippi River rings with cold water dark soy ...,48:59.9
/shorts/ak9PcgbQFb0,/@richsit,richsit,Is THIS better than American-Chinese Food???,"1,1 mln. weergaven",1 jaar geleden,shorts #food #american #chinese #cooking.,48:59.9
/shorts/tT7HA1xWa6g,/@tommywinkler,Tommy Winkler,Eating only Panda Express for the whole day! #shorts #chinese,800K weergaven,2 jaar geleden,Instagram: https://www.instagram.com/tommywinkler/ TikTok: https://www.tiktok.com/@tommywinkler? Twitter: @tommy_winkler_ ...,48:59.9
/watch?v=3w6UuOARJxs&pp=ygUMY2hpbmVzZSBmb29k,/@MarkWiens,Mark Wiens,"Extreme Chinese Street Food - JACUZZI CHICKEN and Market Tour in Kunming! | Yunnan, China Day 4",26 mln. weergaven,6 jaar geleden,"Kunming, Yunnan, China - Kunming is the capital and largest city in Yunnan province China. So I was excited to explore the local ...",48:59.9
